process child ret  = 0
 CPU     ID                    FUNCTION:NAME
  memchr                                                   
  nanosleep                                                
  printf                                                   
  rt_critical                                              
  setup_schedctl                                           
  sleep                                                    
  split                                                    
  strlen                                                   
  suspend_fork                                             
  syscall                                                  
  tsort                                                    
  tsort_unsigned                                           
  unused                                                   
  write                                                    
  _realbufend                                              
  call_array                                               
  dep_visit                                                
  ferror                                                   
  initorfini                                               
  pthread_setcancelstate                                   
  visit                                                    
  ___errno                                                 
  _dep_visit                                               
  _lookup_sym                                              
  bind_one                                                 
  core_lookup_sym                                          
  elf_bndr                                                 
  elf_hash                                                 
  elf_rtbndr                                               
  getbucketnum                                             
  getxfdat                                                 
  is_dep_init                                              
  lfree                                                    
  load_completion                                          
  lookup_sym                                               
  memcpy                                                   
  memset                                                   
  _ti_bind_guard                                           
  enter                                                    
  leave                                                    
  rd_event                                                 
  rt_bind_guard                                            
  callable                                                 
  elf_find_sym                                             
  strcmp                                                   
  lmutex_lock                                              
  lmutex_unlock                                            
  mutex_lock                                               
  mutex_lock_impl                                          
  mutex_unlock                                             
  _ti_bind_clear                                           
  rt_bind_clear                                            
  set_cancel_pending_flag                                  


  __forkx                                                  
  __lwp_sigmask                                            
  __nanosleep                                              
  __schedctl                                               
  __systemcall                                             
  __write                                                  
  _calloc                                                  
  _cleanup                                                 
  _exithandle                                              
  _fflush_l_iops                                           
  _fflush_u                                                
  _findbuf                                                 
  _getfp                                                   
  _malloc                                                  
  _ndoprnt                                                 
  _postfork_parent_handler                                 
  _prefork_handler                                         
  _setbufend                                               
  _setorientation                                          
  _ti_critical                                             
  _xflsbuf                                                 
  aplist_append                                            
  aplist_delete                                            
  aplist_insert                                            
  aplist_test                                              
  atexit_fini                                              
  audit_objclose                                           
  block_all_signals                                        
  call_fini                                                
  calloc                                                   
  continue_fork                                            
  defrag                                                   
  exit                                                     
  fflush                                                   
  fork                                                     
  forkx                                                    
  free                                                     
  fstat64                                                           1
  fstatat64                                                         1
  ioctl                                                             1
  isatty                                                            1
  isseekable                                                        1
  libc_fini                                                         1
  libc_parent_atfork                                                1
  libc_prepare_atfork                                               1
  malloc                                                            1
  malloc_locks                                                      1
  malloc_unlocks                                                    1
  memchr                                                            1
